SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1629622,0022300283,"DEC 02, 2023",CLE @ DET,W,38,9,16,0.563,4,10,0.4,0,0,0.0,0,5,5,5,1,0,1,4,22,10,1
22023,1629622,0022301205,"DEC 06, 2023",CLE vs. ORL,W,31,5,10,0.5,4,8,0.5,3,4,0.75,1,4,5,6,1,0,1,5,17,4,1
22023,1629622,0022301220,"DEC 08, 2023",CLE @ MIA,W,34,4,17,0.235,2,11,0.182,1,1,1.0,2,5,7,1,1,0,0,3,11,18,1
22023,1629622,0022300294,"DEC 11, 2023",CLE @ ORL,L,26,1,9,0.111,0,5,0.0,4,6,0.667,1,1,2,3,1,0,3,4,6,0,1
22023,1629622,0022300305,"DEC 12, 2023",CLE @ BOS,L,37,6,15,0.4,5,11,0.455,0,0,0.0,0,9,9,3,0,0,1,4,17,1,1
22023,1629622,0022300319,"DEC 14, 2023",CLE @ BOS,L,31,2,5,0.4,1,4,0.25,0,0,0.0,2,2,4,2,0,0,1,5,5,-4,1
22023,1629622,0022300336,"DEC 16, 2023",CLE vs. ATL,W,34,4,13,0.308,1,8,0.125,2,2,1.0,1,5,6,5,1,1,1,2,11,12,1
22023,1629622,0022300349,"DEC 18, 2023",CLE vs. HOU,W,34,5,13,0.385,3,9,0.333,4,5,0.8,0,3,3,2,0,0,0,3,17,2,1
22023,1629622,0022300364,"DEC 20, 2023",CLE vs. UTA,W,33,6,15,0.4,6,12,0.5,0,0,0.0,1,3,4,4,0,0,5,3,18,-5,1
22023,1629622,0022300375,"DEC 21, 2023",CLE vs. NOP,L,33,4,16,0.25,2,12,0.167,3,5,0.6,0,3,3,5,0,0,3,2,13,-15,1
22023,1629622,0022300396,"DEC 23, 2023",CLE @ CHI,W,41,9,22,0.409,5,17,0.294,3,3,1.0,0,1,1,7,2,1,3,2,26,14,1
22023,1629622,0022300420,"DEC 27, 2023",CLE @ DAL,W,34,3,10,0.3,2,8,0.25,0,0,0.0,1,4,5,6,1,1,2,3,8,4,1
22023,1629622,0022300433,"DEC 29, 2023",CLE vs. MIL,L,36,5,18,0.278,2,11,0.182,0,0,0.0,1,3,4,2,4,2,1,3,12,-5,1
22023,1629622,0022300452,"JAN 01, 2024",CLE @ TOR,L,37,2,7,0.286,2,5,0.4,0,0,0.0,0,6,6,3,1,1,3,4,6,9,1
22023,1629622,0022300465,"JAN 03, 2024",CLE vs. WAS,W,28,9,13,0.692,6,8,0.75,0,0,0.0,2,2,4,3,1,1,1,4,24,32,1
22023,1629622,0022300482,"JAN 05, 2024",CLE vs. WAS,W,30,4,6,0.667,1,3,0.333,0,0,0.0,0,5,5,3,0,0,3,1,9,10,1
22023,1629622,0022300497,"JAN 07, 2024",CLE vs. SAS,W,37,3,11,0.273,2,9,0.222,0,0,0.0,1,4,5,4,2,0,2,2,8,-9,1
22023,1629622,0022300527,"JAN 11, 2024",CLE vs. BKN,W,7,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,8,1
22023,1629622,0022300561,"JAN 15, 2024",CLE vs. CHI,W,35,1,8,0.125,0,6,0.0,0,0,0.0,1,4,5,4,0,1,2,2,2,19,1
22023,1629622,0022300572,"JAN 17, 2024",CLE vs. MIL,W,22,2,4,0.5,0,1,0.0,2,2,1.0,0,6,6,3,0,1,0,1,6,33,1
22023,1629622,0022300120,"NOV 01, 2023",CLE @ NYK,W,35,3,9,0.333,0,5,0.0,3,3,1.0,0,4,4,4,0,2,5,3,9,3,1
22023,1629622,0022300001,"NOV 03, 2023",CLE @ IND,L,28,4,9,0.444,1,6,0.167,1,2,0.5,0,1,1,0,1,1,1,2,10,3,1
22023,1629622,0022300142,"NOV 05, 2023",CLE vs. GSW,W,36,6,13,0.462,3,10,0.3,0,0,0.0,0,4,4,4,1,0,0,3,15,4,1
