,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22023,1630552,0022300408,"DEC 26, 2023",ATL @ CHI,L,29,5,8,0.625,0,1,0.0,0,0,0.0,3,6,9,4,1,0,2,1,10,-9,1
1,22023,1630552,0022300431,"DEC 29, 2023",ATL vs. SAC,L,35,5,12,0.417,1,4,0.25,5,6,0.833,2,13,15,4,0,1,4,2,16,-7,1
2,22023,1630552,0022300445,"DEC 31, 2023",ATL @ WAS,W,37,9,12,0.75,2,4,0.5,4,5,0.8,0,13,13,4,0,0,1,2,24,-13,1
3,22023,1630552,0022300467,"JAN 03, 2024",ATL vs. OKC,W,29,11,18,0.611,2,4,0.5,4,4,1.0,1,6,7,3,4,0,1,5,28,-1,1
4,22023,1630552,0022300480,"JAN 05, 2024",ATL @ IND,L,29,5,11,0.455,1,4,0.25,1,1,1.0,1,7,8,3,1,0,0,1,12,-26,1
5,22023,1630552,0022300499,"JAN 07, 2024",ATL @ ORL,L,40,6,12,0.5,0,4,0.0,0,0,0.0,1,10,11,4,0,1,3,6,12,-20,1
6,22023,1630552,0022300521,"JAN 10, 2024",ATL vs. PHI,W,41,8,13,0.615,3,4,0.75,6,6,1.0,2,14,16,7,1,2,1,3,25,6,1
7,22023,1630552,0022300533,"JAN 12, 2024",ATL vs. IND,L,32,7,11,0.636,1,2,0.5,1,3,0.333,0,4,4,3,2,0,3,3,16,-17,1
8,22023,1630552,0022300543,"JAN 13, 2024",ATL vs. WAS,L,36,2,7,0.286,1,3,0.333,0,0,0.0,0,6,6,3,0,2,4,3,5,-23,1
9,22023,1630552,0022300559,"JAN 15, 2024",ATL vs. SAS,W,38,7,13,0.538,1,2,0.5,1,1,1.0,0,10,10,7,6,0,5,3,16,16,1
10,22023,1630235,0022301218,"DEC 08, 2023",ATL @ PHI,L,13,2,5,0.4,0,0,0.0,2,2,1.0,1,0,1,1,0,0,1,2,6,-3,1
11,22023,1630235,0022300330,"DEC 15, 2023",ATL @ TOR,W,11,0,4,0.0,0,1,0.0,0,0,0.0,1,2,3,4,1,0,0,1,0,2,1
12,22023,1630235,0022300336,"DEC 16, 2023",ATL @ CLE,L,7,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,1,0,1,0,0,-4,1
13,22023,1630235,0022300408,"DEC 26, 2023",ATL @ CHI,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,1
14,22023,1630235,0022300467,"JAN 03, 2024",ATL vs. OKC,W,14,3,3,1.0,0,0,0.0,0,0,0.0,0,2,2,2,0,1,0,3,6,7,1
15,22023,1630235,0022300480,"JAN 05, 2024",ATL @ IND,L,14,2,4,0.5,0,1,0.0,2,2,1.0,0,2,2,2,1,0,2,0,6,-11,1
16,22023,1630235,0022300521,"JAN 10, 2024",ATL vs. PHI,W,19,2,3,0.667,0,1,0.0,0,0,0.0,0,5,5,3,0,0,0,3,4,6,1
17,22023,1630235,0022300533,"JAN 12, 2024",ATL vs. IND,L,20,2,5,0.4,0,0,0.0,0,0,0.0,0,0,0,6,1,0,1,0,4,-5,1
18,22023,1630235,0022300543,"JAN 13, 2024",ATL vs. WAS,L,13,1,4,0.25,0,0,0.0,2,4,0.5,0,2,2,1,1,0,2,1,4,-7,1
19,22023,1630235,0022300559,"JAN 15, 2024",ATL vs. SAS,W,12,1,3,0.333,1,1,1.0,0,0,0.0,1,2,3,0,0,0,0,2,3,-13,1
20,22023,1641754,0022300330,"DEC 15, 2023",ATL @ TOR,W,1,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-3,1
21,22023,1641754,0022300352,"DEC 18, 2023",ATL vs. DET,W,9,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,1,1
22,22023,1641754,0022300393,"DEC 23, 2023",ATL vs. MEM,L,19,1,7,0.143,1,6,0.167,0,0,0.0,1,1,2,0,0,0,0,2,3,-9,1
23,22023,1641754,0022300408,"DEC 26, 2023",ATL @ CHI,L,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-4,1
24,22023,1641754,0022300480,"JAN 05, 2024",ATL @ IND,L,7,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,-2,1
25,22023,1641754,0022300533,"JAN 12, 2024",ATL vs. IND,L,4,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,2,1
26,22023,1641754,0022300543,"JAN 13, 2024",ATL vs. WAS,L,5,0,1,0.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,0,1,1,1,1
27,22023,1641723,0022300097,"OCT 29, 2023",ATL @ MIL,W,3,0,2,0.0,0,1,0.0,1,2,0.5,1,1,2,0,0,0,0,0,1,-10,1
28,22023,1641723,0022300104,"OCT 30, 2023",ATL vs. MIN,W,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
29,22023,1627749,0022300286,"DEC 02, 2023",ATL @ MIL,L,34,12,19,0.632,4,6,0.667,2,2,1.0,0,2,2,3,2,0,2,0,30,-7,1
30,22023,1627749,0022301209,"DEC 06, 2023",ATL vs. BKN,L,32,6,16,0.375,1,5,0.2,0,0,0.0,0,10,10,9,1,0,0,3,13,2,1
31,22023,1627749,0022301218,"DEC 08, 2023",ATL @ PHI,L,36,7,17,0.412,2,5,0.4,4,4,1.0,1,3,4,9,1,0,4,1,20,-7,1
32,22023,1627749,0022300296,"DEC 11, 2023",ATL vs. DEN,L,38,8,22,0.364,3,8,0.375,2,2,1.0,4,2,6,3,1,0,2,2,21,-6,1
33,22023,1627749,0022300313,"DEC 13, 2023",ATL @ TOR,L,34,8,17,0.471,4,9,0.444,0,1,0.0,0,3,3,5,0,2,0,2,20,-17,1
34,22023,1627749,0022300330,"DEC 15, 2023",ATL @ TOR,W,33,8,18,0.444,1,6,0.167,0,0,0.0,1,6,7,9,1,0,1,3,17,18,1
35,22023,1627749,0022300336,"DEC 16, 2023",ATL @ CLE,L,37,8,19,0.421,0,5,0.0,5,6,0.833,0,3,3,6,1,1,0,2,21,-3,1
36,22023,1627749,0022300352,"DEC 18, 2023",ATL vs. DET,W,33,8,13,0.615,3,5,0.6,1,2,0.5,0,3,3,3,1,1,1,2,20,2,1
37,22023,1627749,0022300371,"DEC 20, 2023",ATL @ HOU,W,35,7,15,0.467,3,8,0.375,4,5,0.8,2,1,3,5,0,1,3,2,21,-8,1
38,22023,1627749,0022300384,"DEC 22, 2023",ATL @ MIA,L,34,10,20,0.5,3,9,0.333,1,3,0.333,1,7,8,6,3,0,2,0,24,-3,1
39,22023,201988,0022301218,"DEC 08, 2023",ATL @ PHI,L,17,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,2,1,1,1,2,3,1,1
40,22023,201988,0022300330,"DEC 15, 2023",ATL @ TOR,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
41,22023,201988,0022300336,"DEC 16, 2023",ATL @ CLE,L,13,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,2,0,0,1,2,3,-1,1
42,22023,201988,0022300384,"DEC 22, 2023",ATL @ MIA,L,12,1,2,0.5,1,1,1.0,0,0,0.0,1,0,1,1,0,0,1,4,3,-2,1
43,22023,201988,0022300431,"DEC 29, 2023",ATL vs. SAC,L,11,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,-11,1
44,22023,201988,0022300445,"DEC 31, 2023",ATL @ WAS,W,8,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,17,1
45,22023,201988,0022300521,"JAN 10, 2024",ATL vs. PHI,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,1
