,SEASON_ID,TEAM_ID,TEAM,GAME_ID,GAME_DATE,OPP,WL,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22014,1610612759,SAS,0021400002,2014-10-28,DAL,W,101,37,70,0.529,14,28,0.5,13,16,0.813,9,29,38,23,5,3,20,20,1.0
1,22014,1610612745,HOU,0021400003,2014-10-28,LAL,W,108,31,73,0.425,12,29,0.414,34,50,0.68,14,33,47,22,7,3,13,30,18.0
2,22014,1610612747,LAL,0021400003,2014-10-28,HOU,L,90,28,79,0.354,3,10,0.3,31,39,0.795,11,25,36,16,7,3,11,32,-18.0
3,22014,1610612753,ORL,0021400001,2014-10-28,NOP,L,84,32,84,0.381,4,11,0.364,16,21,0.762,16,40,56,17,5,9,18,25,-17.0
4,22014,1610612742,DAL,0021400002,2014-10-28,SAS,L,100,38,78,0.487,8,21,0.381,16,19,0.842,9,24,33,17,9,3,10,20,-1.0
5,22014,1610612740,NOP,0021400001,2014-10-28,ORL,W,101,41,101,0.406,4,17,0.235,15,31,0.484,26,36,62,20,10,17,9,17,17.0
6,22014,1610612741,CHI,0021400010,2014-10-29,NYK,W,104,36,71,0.507,7,24,0.292,25,30,0.833,10,37,47,21,9,4,15,18,24.0
7,22014,1610612758,SAC,0021400014,2014-10-29,GSW,L,77,24,78,0.308,3,18,0.167,26,35,0.743,15,35,50,13,11,3,26,26,-18.0
8,22014,1610612761,TOR,0021400008,2014-10-29,ATL,W,109,37,90,0.411,8,26,0.308,27,33,0.818,16,32,48,26,13,9,9,22,7.0
9,22014,1610612754,IND,0021400005,2014-10-29,PHI,W,103,38,81,0.469,8,25,0.32,19,28,0.679,14,36,50,22,5,13,17,24,12.0
10,22014,1610612766,CHA,0021400004,2014-10-29,MIL,W,108,41,101,0.406,6,21,0.286,20,29,0.69,15,35,50,27,8,9,10,20,2.0
11,22014,1610612743,DEN,0021400011,2014-10-29,DET,W,89,30,85,0.353,6,24,0.25,23,31,0.742,14,37,51,17,7,4,15,21,10.0
12,22014,1610612752,NYK,0021400010,2014-10-29,CHI,L,80,31,85,0.365,3,17,0.176,15,17,0.882,14,24,38,19,9,5,11,22,-24.0
13,22014,1610612760,OKC,0021400015,2014-10-29,POR,L,89,33,81,0.407,2,16,0.125,21,26,0.808,14,29,43,19,9,5,13,28,-17.0
14,22014,1610612744,GSW,0021400014,2014-10-29,SAC,W,95,33,75,0.44,6,27,0.222,23,32,0.719,7,37,44,21,12,8,22,32,18.0
15,22014,1610612763,MEM,0021400009,2014-10-29,MIN,W,105,43,82,0.524,4,15,0.267,15,20,0.75,10,23,33,21,10,5,17,21,4.0
16,22014,1610612750,MIN,0021400009,2014-10-29,MEM,L,101,39,86,0.453,6,12,0.5,17,23,0.739,19,28,47,20,8,4,23,21,-4.0
17,22014,1610612764,WAS,0021400007,2014-10-29,MIA,L,95,36,75,0.48,6,19,0.316,17,24,0.708,7,29,36,20,7,2,14,20,-12.0
18,22014,1610612756,PHX,0021400013,2014-10-29,LAL,W,119,45,82,0.549,16,32,0.5,13,18,0.722,9,31,40,23,5,3,14,25,20.0
19,22014,1610612737,ATL,0021400008,2014-10-29,TOR,L,102,40,80,0.5,13,22,0.591,9,17,0.529,10,32,42,26,6,8,17,24,-7.0
20,22014,1610612751,BKN,0021400006,2014-10-29,BOS,L,105,39,80,0.488,7,19,0.368,20,26,0.769,9,30,39,20,6,7,20,21,-16.0
21,22014,1610612748,MIA,0021400007,2014-10-29,WAS,W,107,39,81,0.481,9,28,0.321,20,23,0.87,12,32,44,20,9,3,14,17,12.0
22,22014,1610612745,HOU,0021400012,2014-10-29,UTA,W,104,40,77,0.519,14,27,0.519,10,14,0.714,8,27,35,18,7,6,18,23,11.0
23,22014,1610612738,BOS,0021400006,2014-10-29,BKN,W,121,49,88,0.557,8,22,0.364,15,23,0.652,9,26,35,28,11,5,12,25,16.0
24,22014,1610612757,POR,0021400015,2014-10-29,OKC,W,106,39,87,0.448,11,29,0.379,17,22,0.773,13,29,42,23,4,9,10,19,17.0
25,22014,1610612755,PHI,0021400005,2014-10-29,IND,L,91,34,89,0.382,6,21,0.286,17,30,0.567,15,27,42,17,10,5,11,29,-12.0
